CurrPricePershare,ActualInvestedAmount,VirtualInvestedAmount,CurrentPortfolioVAlue,tax,profit_loss,PAT 
389, 1811975, 4017043.75, 5825275, 361646.25, 4013300, 3651653.75
390, 1811975, 4017043.75, 5840250, 364641.25, 4028275, 3663633.75
391, 1811975, 4017043.75, 5855225, 367636.25, 4043250, 3675613.75
392, 1811975, 4017043.75, 5870200, 370631.25, 4058225, 3687593.75
393, 1811975, 4017043.75, 5885175, 373626.25, 4073200, 3699573.75
394, 1811975, 4017043.75, 5900150, 376621.25, 4088175, 3711553.75
395, 1811975, 4017043.75, 5915125, 379616.25, 4103150, 3723533.75
396, 1811975, 4017043.75, 5930100, 382611.25, 4118125, 3735513.75
397, 1811975, 4017043.75, 5945075, 385606.25, 4133100, 3747493.75
398, 1811975, 4017043.75, 5960050, 388601.25, 4148075, 3759473.75
399, 1811975, 4017043.75, 5975025, 391596.25, 4163050, 3771453.75
400, 1811975, 4017043.75, 5990000, 394591.25, 4178025, 3783433.75
401, 1811975, 4017043.75, 6004975, 397586.25, 4193000, 3795413.75
402, 1811975, 4017043.75, 6019950, 400581.25, 4207975, 3807393.75
403, 1811975, 4017043.75, 6034925, 403576.25, 4222950, 3819373.75
404, 1811975, 4017043.75, 6049900, 406571.25, 4237925, 3831353.75
405, 1811975, 4017043.75, 6064875, 409566.25, 4252900, 3843333.75
406, 1811975, 4017043.75, 6079850, 412561.25, 4267875, 3855313.75
407, 1811975, 4017043.75, 6094825, 415556.25, 4282850, 3867293.75
408, 1811975, 4017043.75, 6109800, 418551.25, 4297825, 3879273.75
409, 1811975, 4017043.75, 6124775, 421546.25, 4312800, 3891253.75
410, 1811975, 4017043.75, 6139750, 424541.25, 4327775, 3903233.75
411, 1811975, 4017043.75, 6154725, 427536.25, 4342750, 3915213.75
412, 1811975, 4017043.75, 6169700, 430531.25, 4357725, 3927193.75
413, 1811975, 4017043.75, 6184675, 433526.25, 4372700, 3939173.75
414, 1811975, 4017043.75, 6199650, 436521.25, 4387675, 3951153.75
415, 1811975, 4017043.75, 6214625, 439516.25, 4402650, 3963133.75
416, 1811975, 4017043.75, 6229600, 442511.25, 4417625, 3975113.75
417, 1811975, 4017043.75, 6244575, 445506.25, 4432600, 3987093.75
418, 1811975, 4017043.75, 6259550, 448501.25, 4447575, 3999073.75
419, 1811975, 4017043.75, 6274525, 451496.25, 4462550, 4011053.75
420, 1811975, 4017043.75, 6289500, 454491.25, 4477525, 4023033.75
421, 1811975, 4017043.75, 6304475, 457486.25, 4492500, 4035013.75
422, 1811975, 4017043.75, 6319450, 460481.25, 4507475, 4046993.75
423, 1811975, 4017043.75, 6334425, 463476.25, 4522450, 4058973.75
424, 1811975, 4017043.75, 6349400, 466471.25, 4537425, 4070953.75
425, 1811975, 4017043.75, 6364375, 469466.25, 4552400, 4082933.75
426, 1811975, 4017043.75, 6379350, 472461.25, 4567375, 4094913.75
427, 1811975, 4017043.75, 6394325, 475456.25, 4582350, 4106893.75
428, 1811975, 4017043.75, 6409300, 478451.25, 4597325, 4118873.75
429, 1811975, 4017043.75, 6424275, 481446.25, 4612300, 4130853.75
430, 1811975, 4017043.75, 6439250, 484441.25, 4627275, 4142833.75
431, 1811975, 4017043.75, 6454225, 487436.25, 4642250, 4154813.75
432, 1811975, 4017043.75, 6469200, 490431.25, 4657225, 4166793.75
433, 1811975, 4017043.75, 6484175, 493426.25, 4672200, 4178773.75
434, 1811975, 4017043.75, 6499150, 496421.25, 4687175, 4190753.75
435, 1811975, 4017043.75, 6514125, 499416.25, 4702150, 4202733.75
436, 1811975, 4017043.75, 6529100, 502411.25, 4717125, 4214713.75
437, 1811975, 4017043.75, 6544075, 505406.25, 4732100, 4226693.75
438, 1811975, 4017043.75, 6559050, 508401.25, 4747075, 4238673.75
439, 1811975, 4017043.75, 6574025, 511396.25, 4762050, 4250653.75
440, 1811975, 4017043.75, 6589000, 514391.25, 4777025, 4262633.75
441, 1811975, 4017043.75, 6603975, 517386.25, 4792000, 4274613.75
442, 1811975, 4017043.75, 6618950, 520381.25, 4806975, 4286593.75
443, 1811975, 4017043.75, 6633925, 523376.25, 4821950, 4298573.75
444, 1811975, 4017043.75, 6648900, 526371.25, 4836925, 4310553.75
445, 1811975, 4017043.75, 6663875, 529366.25, 4851900, 4322533.75
446, 1811975, 4017043.75, 6678850, 532361.25, 4866875, 4334513.75
447, 1811975, 4017043.75, 6693825, 535356.25, 4881850, 4346493.75
448, 1811975, 4017043.75, 6708800, 538351.25, 4896825, 4358473.75
449, 1811975, 4017043.75, 6723775, 541346.25, 4911800, 4370453.75
450, 1811975, 4017043.75, 6738750, 544341.25, 4926775, 4382433.75
451, 1811975, 4017043.75, 6753725, 547336.25, 4941750, 4394413.75
452, 1811975, 4017043.75, 6768700, 550331.25, 4956725, 4406393.75
453, 1811975, 4017043.75, 6783675, 553326.25, 4971700, 4418373.75
454, 1811975, 4017043.75, 6798650, 556321.25, 4986675, 4430353.75
455, 1811975, 4017043.75, 6813625, 559316.25, 5001650, 4442333.75
456, 1811975, 4017043.75, 6828600, 562311.25, 5016625, 4454313.75
457, 1811975, 4017043.75, 6843575, 565306.25, 5031600, 4466293.75
458, 1811975, 4017043.75, 6858550, 568301.25, 5046575, 4478273.75
459, 1811975, 4017043.75, 6873525, 571296.25, 5061550, 4490253.75
460, 1811975, 4017043.75, 6888500, 574291.25, 5076525, 4502233.75
